snr,2.000,2.500,3.000,3.500,4.000,4.500
 	uncoded,	3.807000E-02,	2.942500E-02,	2.302000E-02,	1.693500E-02,	1.283000E-02,	8.665000E-03
 	bp-20,	5.992857E-02,	4.613492E-02,	3.366667E-02,	2.173016E-02,	1.353968E-02,	8.956349E-03
 	gnn-2,	6.613492E-02,	5.583333E-02,	4.646825E-02,	3.642063E-02,	2.873810E-02,	2.325397E-02
 	gnn-10,	6.538095E-02,	5.638095E-02,	4.610317E-02,	3.656349E-02,	2.892063E-02,	2.195238E-02
 	,	,	,	,	,	,	
